id,name,fixShotCost,shotCost,diceNum_range,diceFace_range,baseAtk_range,face_grow_range,base_grow_range,to_hit_range,maxRange,dispersion,pellet,r_dps,maxAmmo,ammo_type,R_key,reloadCost,bullet,shootSound,reloadSound,bulletSound
wand,魔杖,,0.58,1,25,1,0.7,0.2,,7.9,125,,10.34 ,0,,,,,,,
short_bow,短弓,FALSE,0.48,2,10,3,0.6,0.1,1,7.9,200,,7.41 ,1,arrow,select_ammo,,arrow_wood,weapon_fire_arrow,,ranged_hit_flesh
long_bow,长弓,FALSE,0.58,2,22,5,0.6,0.1,,10.2,110,,12.26 ,1,arrow,select_ammo,,arrow_wood,weapon_fire_arrow,,ranged_hit_flesh
skull_bow,骨弓,FALSE,0.45,2,32,4,0.5,0.2,1,7.9,150,,19.75 ,1,arrow,select_ammo,,arrow_wood,weapon_fire_arrow,,ranged_hit_flesh
crossbow,弩,FALSE,0.58,3,20,4,0.55,0.15,2,8.2,130,,10.73 ,1,arrow,select_ammo,,arrow_wood,weapon_fire_arrow,,ranged_hit_flesh
repeating_bow,连弩,,0.31,3,20,1,0.65,0.05,1,8.2,150,,15.77 ,6,arrow,reload,0.8,arrow_wood,weapon_fire_arrow,,ranged_hit_flesh
machine_gun,机关枪,,0.22,2,10,2,0.5,0.2,-1,9.0 ,190,,14.14 ,30,l_bullet,reload,0.8,bullet1,weapon_fire_762x39,rifle_reload2,
pistol,手枪,,0.4,1,22,2,0.5,0.2,,8.2,160,,14.44 ,12,l_bullet,reload,0.45,bullet1,weapon_fire_9mm,pistol_reload,
revolver,左轮枪,,0.45,1,15,1,0.6,0.1,,9.2,150,,8.40 ,6,l_bullet,reload,0.53,bullet1,,,
laser_gun,激光枪,,0.4,5,30,8,0.7,0.2,,12.5 ,90,,25.56 ,0,,,,,,,
shotgun,霰弹枪,,0.5,4,50,2,0.9,0.1,,4.2,400,5,24.00 ,5,l_bullet,reload,1,bullet1,,,
heavy_mg,重机枪,,0.2,2,20,4,0.6,0.1,-1,8.2,200,,31.11 ,80,h_bullet,reload,1.3,bullet1,,,
sniper_rifle,狙击枪,,0.8,1,60,10,0.6,0.2,2,13.2,80,,22.22 ,1,h_bullet,select_ammo,,bullet1,,,
assault_rifle,突击步枪,,0.26,2,28,6,0.5,0.2,,10.2,110,,34.19 ,25,h_bullet,reload,0.8,bullet1,,,
